Timestamp,What is your current academic level?,What is your primary source of funding for your studies and living expenses?,What is your approximate monthly income/financial support? (in LKR),How much do you spend on TRANSPORTATION per month? (in LKR),Rate your comfort level with your current financial situation.,How would you rate the affordability of the following expenses in your area? [Accommodation (Rent/Housing)],How would you rate the affordability of the following expenses in your area? [Groceries/Food],"How would you rate the affordability of the following expenses in your area? [Course Materials (Books, supplies)]",How would you rate the affordability of the following expenses in your area? [Transportation],How would you rate the affordability of the following expenses in your area? [Social/Leisure Activities],In which areas do you wish you had more financial assistance or resources?,Approximately how many hours per week do you spend working (paid job)?,Please provide any additional comments on your student budget or financial challenges.
19/11/2025 16:39:40,Undergraduate,"Savings, Other (e.g., Freelancing), Parental/Family Support","LKR 15,001 - 25,000",6058,1,Very Unaffordable,Unaffordable,Very Affordable,Unaffordable,Very Affordable,"Tuition Fees, Accommodation, Career Development Workshops",6-10 hours,Financial stress is very high this semester.
08/11/2025 09:15:48,Postgraduate,"Savings, Part-time Job",Prefer not to say,6291,2,Very Unaffordable,Very Affordable,Unaffordable,Very Affordable,Affordable,Accommodation,6-10 hours,Financial stress is very high this semester.
03/11/2025 11:08:18,Postgraduate,"Part-time Job, Savings","LKR 35,001 - 50,000",5426,3,Very Unaffordable,Very Unaffordable,Affordable,Unaffordable,Unaffordable,"None of the above, Accommodation, Mental Health Services",11-15 hours,I need to work more to cover rent.
15/11/2025 15:35:34,Postgraduate,"Scholarship/Grants, Parental/Family Support, Student Loans",Prefer not to say,5251,3,Very Unaffordable,Very Affordable,Very Affordable,Affordable,Very Affordable,"Mental Health Services, None of the above",11-15 hours,
05/11/2025 05:33:55,Undergraduate,"Scholarship/Grants, Savings","LKR 50,001 - 75,000",14549,5,Unaffordable,Neutral,Very Affordable,Neutral,Unaffordable,"Groceries/Food, None of the above",1-5 hours,Scholarship funds are delayed.
19/11/2025 06:03:52,Undergraduate,Scholarship/Grants,"LKR 25,001 - 35,000",8415,3,Unaffordable,Very Affordable,Very Affordable,Very Affordable,Very Affordable,Career Development Workshops,16-20 hours,
30/10/2025 21:42:48,Postgraduate,Part-time Job,"More than LKR 75,000",10099,3,Affordable,Neutral,Neutral,Very Affordable,Very Affordable,Groceries/Food,More than 20 hours,The country sucks
14/11/2025 02:33:45,Postgraduate,Student Loans,"LKR 35,001 - 50,000",7505,5,Unaffordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,"Mental Health Services, None of the above",0 hours,Financial stress is very high this semester.
03/11/2025 02:04:04,Postgraduate,"Part-time Job, Scholarship/Grants","LKR 50,001 - 75,000",20110,3,Neutral,Affordable,Very Affordable,Affordable,Affordable,"Accommodation, Career Development Workshops, Mental Health Services",16-20 hours,
16/11/2025 00:53:47,Postgraduate,"Part-time Job, Student Loans, Scholarship/Grants","LKR 15,001 - 25,000",2844,1,Neutral,Very Affordable,Very Unaffordable,Very Unaffordable,Neutral,"Accommodation, Mental Health Services, Career Development Workshops",6-10 hours,
14/11/2025 06:45:34,Postgraduate,Scholarship/Grants,"LKR 35,001 - 50,000",7891,1,Very Unaffordable,Unaffordable,Affordable,Very Unaffordable,Affordable,"Accommodation, Tuition Fees, None of the above",More than 20 hours,Scholarship funds are delayed.
03/11/2025 18:26:14,Postgraduate,"Savings, Scholarship/Grants, Other (e.g., Freelancing)","LKR 25,001 - 35,000",7307,1,Unaffordable,Very Unaffordable,Unaffordable,Very Affordable,Very Unaffordable,Groceries/Food,16-20 hours,The country sucks
20/11/2025 07:51:17,Undergraduate,"Other (e.g., Freelancing), Parental/Family Support, Savings","LKR 15,001 - 25,000",6923,5,Neutral,Neutral,Very Affordable,Neutral,Very Affordable,"Career Development Workshops, Mental Health Services, Groceries/Food",6-10 hours,
09/11/2025 23:20:42,Undergraduate,Student Loans,"Less than LKR 15,000",195,1,Very Affordable,Very Unaffordable,Unaffordable,Unaffordable,Neutral,"Groceries/Food, Career Development Workshops, Mental Health Services",16-20 hours,I need to work more to cover rent.
30/10/2025 07:51:12,Undergraduate,"Part-time Job, Student Loans","LKR 15,001 - 25,000",1225,4,Very Unaffordable,Unaffordable,Very Affordable,Neutral,Unaffordable,"None of the above, Tuition Fees, Groceries/Food",16-20 hours,I need to work more to cover rent.
26/10/2025 05:43:50,Undergraduate,"Other (e.g., Freelancing)","LKR 35,001 - 50,000",1788,2,Neutral,Very Unaffordable,Very Unaffordable,Very Unaffordable,Affordable,"Career Development Workshops, Groceries/Food, Tuition Fees",1-5 hours,
22/11/2025 06:35:47,Postgraduate,"Other (e.g., Freelancing), Part-time Job",Prefer not to say,8132,4,Affordable,Unaffordable,Very Unaffordable,Neutral,Very Affordable,"Tuition Fees, None of the above",0 hours,Scholarship funds are delayed.
19/11/2025 13:57:51,Postgraduate,"Scholarship/Grants, Parental/Family Support, Student Loans","LKR 15,001 - 25,000",1959,1,Affordable,Neutral,Affordable,Very Unaffordable,Very Unaffordable,"None of the above, Groceries/Food, Mental Health Services",16-20 hours,Financial stress is very high this semester.
17/11/2025 12:27:11,Postgraduate,"Parental/Family Support, Other (e.g., Freelancing), Part-time Job","LKR 50,001 - 75,000",17618,2,Neutral,Affordable,Very Affordable,Neutral,Very Unaffordable,"Emergency Funding, Accommodation",0 hours,
09/11/2025 16:37:28,Undergraduate,"Part-time Job, Scholarship/Grants","LKR 25,001 - 35,000",3513,3,Neutral,Neutral,Neutral,Neutral,Very Unaffordable,None of the above,16-20 hours,
30/10/2025 17:23:56,Undergraduate,"Parental/Family Support, Scholarship/Grants, Student Loans","LKR 50,001 - 75,000",10529,3,Affordable,Very Affordable,Very Unaffordable,Affordable,Affordable,Accommodation,More than 20 hours,
20/11/2025 01:54:21,Postgraduate,"Other (e.g., Freelancing), Part-time Job","LKR 35,001 - 50,000",1244,3,Affordable,Unaffordable,Neutral,Very Affordable,Unaffordable,"Groceries/Food, Emergency Funding",11-15 hours,I need to work more to cover rent.
17/11/2025 05:52:52,Undergraduate,"Parental/Family Support, Part-time Job, Other (e.g., Freelancing)",Prefer not to say,9763,3,Unaffordable,Very Unaffordable,Neutral,Affordable,Very Unaffordable,"Mental Health Services, Career Development Workshops, None of the above",11-15 hours,Financial stress is very high this semester.
17/11/2025 18:50:34,Undergraduate,Part-time Job,"Less than LKR 15,000",521,2,Unaffordable,Very Affordable,Unaffordable,Neutral,Unaffordable,Groceries/Food,11-15 hours,
19/11/2025 05:25:47,Postgraduate,Student Loans,"LKR 35,001 - 50,000",2332,4,Affordable,Affordable,Unaffordable,Very Affordable,Very Affordable,"Mental Health Services, Emergency Funding, Tuition Fees",0 hours,
21/11/2025 02:27:58,Undergraduate,"Savings, Other (e.g., Freelancing), Scholarship/Grants",Prefer not to say,7949,4,Very Unaffordable,Very Affordable,Very Unaffordable,Very Affordable,Very Affordable,None of the above,More than 20 hours,
15/11/2025 10:08:19,Undergraduate,"Scholarship/Grants, Savings, Other (e.g., Freelancing)","LKR 25,001 - 35,000",2196,1,Neutral,Very Unaffordable,Very Unaffordable,Very Affordable,Neutral,"Groceries/Food, Emergency Funding",More than 20 hours,Financial stress is very high this semester.
11/11/2025 19:02:13,Undergraduate,"Student Loans, Savings","LKR 35,001 - 50,000",1094,2,Neutral,Unaffordable,Very Unaffordable,Very Unaffordable,Affordable,Groceries/Food,More than 20 hours,
05/11/2025 16:27:37,Undergraduate,Scholarship/Grants,"LKR 15,001 - 25,000",5986,3,Unaffordable,Very Unaffordable,Very Unaffordable,Unaffordable,Very Affordable,"Mental Health Services, Accommodation",16-20 hours,I need to work more to cover rent.
30/10/2025 14:31:38,Undergraduate,"Student Loans, Part-time Job, Savings","Less than LKR 15,000",748,4,Neutral,Very Affordable,Very Affordable,Very Unaffordable,Very Unaffordable,"Tuition Fees, None of the above, Accommodation",6-10 hours,
13/11/2025 18:41:52,Undergraduate,"Part-time Job, Student Loans","LKR 50,001 - 75,000",9810,1,Affordable,Very Unaffordable,Neutral,Very Unaffordable,Neutral,"Groceries/Food, Tuition Fees, Career Development Workshops",1-5 hours,Scholarship funds are delayed.
15/11/2025 14:03:26,Undergraduate,"Scholarship/Grants, Savings, Parental/Family Support","More than LKR 75,000",21644,1,Affordable,Very Affordable,Very Affordable,Affordable,Neutral,"Mental Health Services, Emergency Funding, Career Development Workshops",More than 20 hours,
08/11/2025 22:01:10,Postgraduate,"Part-time Job, Parental/Family Support","LKR 25,001 - 35,000",6121,2,Affordable,Very Unaffordable,Affordable,Very Unaffordable,Affordable,"Tuition Fees, Emergency Funding",6-10 hours,I need to work more to cover rent.
23/11/2025 05:43:25,Postgraduate,"Part-time Job, Student Loans, Parental/Family Support",Prefer not to say,7664,2,Affordable,Very Affordable,Very Affordable,Very Unaffordable,Affordable,"Emergency Funding, Tuition Fees",6-10 hours,
02/11/2025 10:52:18,Undergraduate,"Other (e.g., Freelancing)","More than LKR 75,000",11311,1,Very Unaffordable,Very Affordable,Affordable,Affordable,Very Unaffordable,"Career Development Workshops, Emergency Funding",6-10 hours,
15/11/2025 18:45:57,Postgraduate,"Student Loans, Savings","LKR 35,001 - 50,000",2247,3,Affordable,Very Affordable,Neutral,Neutral,Very Affordable,"Emergency Funding, None of the above, Accommodation",11-15 hours,I need to work more to cover rent.
17/11/2025 19:00:47,Undergraduate,"Parental/Family Support, Other (e.g., Freelancing)","LKR 50,001 - 75,000",13573,1,Very Affordable,Very Affordable,Very Affordable,Very Affordable,Affordable,"Tuition Fees, Groceries/Food, None of the above",16-20 hours,
03/11/2025 12:40:31,Postgraduate,Scholarship/Grants,"LKR 15,001 - 25,000",5882,4,Neutral,Affordable,Very Affordable,Affordable,Neutral,Accommodation,More than 20 hours,
17/11/2025 21:18:46,Undergraduate,"Part-time Job, Savings","Less than LKR 15,000",593,3,Very Unaffordable,Very Unaffordable,Neutral,Very Unaffordable,Neutral,"Emergency Funding, Tuition Fees",0 hours,The country sucks
23/11/2025 04:24:41,Postgraduate,"Savings, Scholarship/Grants","LKR 15,001 - 25,000",6311,3,Affordable,Very Affordable,Neutral,Very Affordable,Unaffordable,"Groceries/Food, Tuition Fees, Accommodation",1-5 hours,
19/11/2025 09:03:35,Undergraduate,"Parental/Family Support, Other (e.g., Freelancing)","LKR 15,001 - 25,000",4263,3,Very Unaffordable,Unaffordable,Unaffordable,Neutral,Neutral,"Tuition Fees, Career Development Workshops",16-20 hours,The country sucks
14/11/2025 07:16:49,Undergraduate,"Student Loans, Part-time Job","LKR 15,001 - 25,000",1202,4,Very Affordable,Very Unaffordable,Neutral,Neutral,Neutral,"None of the above, Emergency Funding",16-20 hours,
24/11/2025 06:40:30,Postgraduate,"Parental/Family Support, Scholarship/Grants","Less than LKR 15,000",612,5,Very Affordable,Affordable,Neutral,Neutral,Neutral,"Tuition Fees, Accommodation",1-5 hours,
09/11/2025 08:28:58,Postgraduate,"Student Loans, Other (e.g., Freelancing)","LKR 15,001 - 25,000",1563,3,Neutral,Very Affordable,Unaffordable,Affordable,Very Affordable,"Accommodation, Career Development Workshops",1-5 hours,The country sucks
07/11/2025 03:29:46,Postgraduate,"Scholarship/Grants, Student Loans",Prefer not to say,1899,1,Very Unaffordable,Very Unaffordable,Neutral,Very Affordable,Very Affordable,"Groceries/Food, Accommodation, Tuition Fees",16-20 hours,
17/11/2025 06:37:11,Undergraduate,"Other (e.g., Freelancing), Part-time Job, Student Loans","Less than LKR 15,000",908,5,Neutral,Affordable,Very Unaffordable,Very Unaffordable,Very Affordable,"Groceries/Food, Emergency Funding",0 hours,
29/10/2025 13:56:53,Postgraduate,"Other (e.g., Freelancing), Part-time Job","More than LKR 75,000",25174,4,Neutral,Very Unaffordable,Affordable,Very Unaffordable,Neutral,"Accommodation, Mental Health Services",11-15 hours,The country sucks
18/11/2025 20:11:37,Undergraduate,"Savings, Scholarship/Grants","LKR 35,001 - 50,000",1068,5,Affordable,Neutral,Very Affordable,Unaffordable,Unaffordable,"Tuition Fees, Accommodation, Groceries/Food",0 hours,The country sucks
03/11/2025 12:00:10,Undergraduate,"Other (e.g., Freelancing), Scholarship/Grants, Parental/Family Support",Prefer not to say,1926,2,Unaffordable,Very Unaffordable,Affordable,Very Unaffordable,Affordable,"Emergency Funding, Groceries/Food",11-15 hours,
27/10/2025 11:00:43,Postgraduate,Parental/Family Support,"Less than LKR 15,000",66,3,Very Affordable,Neutral,Very Unaffordable,Affordable,Very Affordable,"Tuition Fees, Mental Health Services, Career Development Workshops",0 hours,I need to work more to cover rent.
06/11/2025 07:14:39,Postgraduate,"Parental/Family Support, Student Loans","LKR 35,001 - 50,000",6312,2,Very Unaffordable,Neutral,Neutral,Neutral,Affordable,"Emergency Funding, Accommodation, Career Development Workshops",0 hours,
23/11/2025 15:55:34,Postgraduate,"Other (e.g., Freelancing)","LKR 15,001 - 25,000",3080,4,Affordable,Very Unaffordable,Affordable,Very Unaffordable,Neutral,Accommodation,16-20 hours,
30/10/2025 20:27:00,Postgraduate,"Student Loans, Savings","LKR 25,001 - 35,000",6375,4,Very Affordable,Very Unaffordable,Very Affordable,Unaffordable,Very Unaffordable,"Emergency Funding, Career Development Workshops, Groceries/Food",1-5 hours,
03/11/2025 05:45:01,Undergraduate,"Scholarship/Grants, Savings","LKR 15,001 - 25,000",3769,1,Very Unaffordable,Affordable,Unaffordable,Neutral,Affordable,"Tuition Fees, Groceries/Food, Accommodation",6-10 hours,Financial stress is very high this semester.
23/11/2025 14:20:35,Undergraduate,"Part-time Job, Parental/Family Support","Less than LKR 15,000",577,1,Affordable,Unaffordable,Unaffordable,Unaffordable,Very Affordable,Accommodation,0 hours,
03/11/2025 13:54:25,Postgraduate,"Savings, Other (e.g., Freelancing), Parental/Family Support","LKR 35,001 - 50,000",5897,5,Very Unaffordable,Neutral,Very Unaffordable,Very Affordable,Affordable,Accommodation,1-5 hours,
10/11/2025 05:22:51,Undergraduate,"Student Loans, Part-time Job, Other (e.g., Freelancing)","Less than LKR 15,000",699,2,Very Affordable,Affordable,Very Affordable,Very Affordable,Very Unaffordable,Career Development Workshops,0 hours,Financial stress is very high this semester.
31/10/2025 20:51:36,Undergraduate,"Parental/Family Support, Savings","LKR 25,001 - 35,000",6971,3,Very Unaffordable,Unaffordable,Affordable,Neutral,Unaffordable,"None of the above, Accommodation, Tuition Fees",1-5 hours,The country sucks
23/11/2025 10:52:54,Postgraduate,Student Loans,"Less than LKR 15,000",715,4,Very Unaffordable,Very Affordable,Affordable,Unaffordable,Very Affordable,"Groceries/Food, None of the above, Mental Health Services",0 hours,
08/11/2025 21:52:52,Postgraduate,"Other (e.g., Freelancing), Parental/Family Support, Student Loans","More than LKR 75,000",21424,5,Neutral,Very Unaffordable,Affordable,Affordable,Affordable,"Accommodation, None of the above, Mental Health Services",16-20 hours,Financial stress is very high this semester.
19/11/2025 02:44:44,Postgraduate,"Part-time Job, Other (e.g., Freelancing), Student Loans","LKR 35,001 - 50,000",2905,1,Neutral,Very Unaffordable,Unaffordable,Very Affordable,Neutral,"Career Development Workshops, Accommodation, Tuition Fees",0 hours,Financial stress is very high this semester.
15/11/2025 00:04:47,Undergraduate,Scholarship/Grants,"LKR 50,001 - 75,000",14899,4,Very Affordable,Affordable,Affordable,Unaffordable,Affordable,Mental Health Services,1-5 hours,
26/10/2025 11:10:41,Undergraduate,"Parental/Family Support, Other (e.g., Freelancing)","More than LKR 75,000",26536,3,Very Affordable,Neutral,Very Affordable,Affordable,Neutral,Tuition Fees,0 hours,The country sucks
01/11/2025 03:46:08,Postgraduate,"Savings, Parental/Family Support, Scholarship/Grants","LKR 35,001 - 50,000",7619,3,Affordable,Affordable,Unaffordable,Very Affordable,Neutral,"Career Development Workshops, Mental Health Services",More than 20 hours,Financial stress is very high this semester.
21/11/2025 09:52:28,Undergraduate,"Other (e.g., Freelancing)","LKR 35,001 - 50,000",5546,2,Unaffordable,Neutral,Affordable,Very Affordable,Unaffordable,"Groceries/Food, Career Development Workshops, Accommodation",More than 20 hours,The country sucks
07/11/2025 09:11:54,Postgraduate,"Savings, Other (e.g., Freelancing), Parental/Family Support","More than LKR 75,000",15900,2,Very Affordable,Neutral,Neutral,Unaffordable,Very Unaffordable,Mental Health Services,16-20 hours,Scholarship funds are delayed.
09/11/2025 23:33:58,Postgraduate,Scholarship/Grants,"More than LKR 75,000",8068,5,Very Unaffordable,Very Unaffordable,Unaffordable,Very Unaffordable,Affordable,Mental Health Services,1-5 hours,The country sucks
12/11/2025 14:21:37,Undergraduate,"Student Loans, Part-time Job","LKR 25,001 - 35,000",6892,3,Unaffordable,Affordable,Affordable,Very Unaffordable,Very Unaffordable,"Career Development Workshops, Mental Health Services, Tuition Fees",6-10 hours,Financial stress is very high this semester.
13/11/2025 15:11:58,Undergraduate,"Part-time Job, Savings","LKR 35,001 - 50,000",2760,1,Very Affordable,Unaffordable,Neutral,Affordable,Neutral,"None of the above, Accommodation, Mental Health Services",0 hours,
10/11/2025 04:46:01,Postgraduate,Part-time Job,"LKR 15,001 - 25,000",9253,5,Neutral,Very Affordable,Neutral,Neutral,Neutral,"Tuition Fees, None of the above, Accommodation",More than 20 hours,
05/11/2025 02:29:03,Undergraduate,"Savings, Scholarship/Grants, Other (e.g., Freelancing)",Prefer not to say,2120,4,Affordable,Very Affordable,Affordable,Neutral,Very Affordable,"Career Development Workshops, Accommodation",0 hours,The country sucks
26/10/2025 02:07:15,Undergraduate,"Parental/Family Support, Savings, Part-time Job","LKR 15,001 - 25,000",4506,2,Affordable,Unaffordable,Very Unaffordable,Unaffordable,Affordable,"Mental Health Services, Accommodation",11-15 hours,
13/11/2025 06:51:35,Postgraduate,"Parental/Family Support, Scholarship/Grants, Student Loans","LKR 35,001 - 50,000",4397,4,Very Unaffordable,Neutral,Affordable,Neutral,Unaffordable,"None of the above, Career Development Workshops, Groceries/Food",0 hours,
31/10/2025 03:43:34,Undergraduate,"Other (e.g., Freelancing)","LKR 50,001 - 75,000",17402,3,Affordable,Very Unaffordable,Affordable,Very Unaffordable,Unaffordable,"None of the above, Tuition Fees, Emergency Funding",1-5 hours,
12/11/2025 04:22:54,Postgraduate,"Student Loans, Parental/Family Support","More than LKR 75,000",18540,5,Neutral,Affordable,Very Unaffordable,Unaffordable,Unaffordable,"Career Development Workshops, Tuition Fees, Emergency Funding",11-15 hours,
12/11/2025 22:10:35,Postgraduate,"Other (e.g., Freelancing)","Less than LKR 15,000",551,3,Very Unaffordable,Neutral,Very Affordable,Very Affordable,Neutral,"Accommodation, Emergency Funding",0 hours,
09/11/2025 22:45:53,Undergraduate,Scholarship/Grants,"LKR 25,001 - 35,000",1298,4,Neutral,Very Affordable,Unaffordable,Unaffordable,Affordable,"Tuition Fees, Career Development Workshops",More than 20 hours,I need to work more to cover rent.
10/11/2025 11:03:54,Undergraduate,"Savings, Scholarship/Grants","Less than LKR 15,000",213,4,Very Unaffordable,Neutral,Unaffordable,Neutral,Unaffordable,"Emergency Funding, Groceries/Food, Mental Health Services",1-5 hours,
26/10/2025 12:11:00,Postgraduate,"Savings, Student Loans","LKR 50,001 - 75,000",20890,1,Affordable,Neutral,Neutral,Unaffordable,Very Affordable,Career Development Workshops,0 hours,
20/11/2025 09:38:49,Postgraduate,"Parental/Family Support, Part-time Job, Other (e.g., Freelancing)","LKR 25,001 - 35,000",6370,1,Neutral,Affordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,"None of the above, Career Development Workshops",More than 20 hours,
03/11/2025 08:36:54,Undergraduate,"Other (e.g., Freelancing), Parental/Family Support, Student Loans","LKR 35,001 - 50,000",8387,5,Very Unaffordable,Affordable,Unaffordable,Neutral,Very Affordable,"Accommodation, Mental Health Services, Tuition Fees",6-10 hours,The country sucks
14/11/2025 17:24:40,Postgraduate,"Other (e.g., Freelancing)","Less than LKR 15,000",494,2,Neutral,Very Affordable,Unaffordable,Neutral,Unaffordable,"Tuition Fees, Groceries/Food, None of the above",More than 20 hours,I need to work more to cover rent.
18/11/2025 07:00:17,Undergraduate,Scholarship/Grants,"LKR 25,001 - 35,000",5006,5,Affordable,Neutral,Unaffordable,Affordable,Very Affordable,None of the above,More than 20 hours,
16/11/2025 20:21:52,Postgraduate,"Savings, Part-time Job","More than LKR 75,000",24914,3,Affordable,Unaffordable,Very Affordable,Affordable,Unaffordable,Emergency Funding,1-5 hours,
31/10/2025 09:30:26,Postgraduate,"Parental/Family Support, Other (e.g., Freelancing)","LKR 50,001 - 75,000",25855,4,Neutral,Affordable,Very Affordable,Neutral,Very Affordable,"None of the above, Groceries/Food, Mental Health Services",16-20 hours,The country sucks
14/11/2025 16:40:37,Undergraduate,Scholarship/Grants,Prefer not to say,6161,4,Unaffordable,Affordable,Unaffordable,Affordable,Affordable,"Tuition Fees, Groceries/Food, Emergency Funding",11-15 hours,The country sucks
16/11/2025 20:04:07,Undergraduate,"Scholarship/Grants, Student Loans, Savings","LKR 25,001 - 35,000",5052,5,Very Unaffordable,Unaffordable,Neutral,Affordable,Neutral,"Accommodation, Mental Health Services, Tuition Fees",11-15 hours,
23/11/2025 10:54:25,Postgraduate,Student Loans,"LKR 35,001 - 50,000",2806,4,Neutral,Neutral,Neutral,Neutral,Neutral,"Mental Health Services, Groceries/Food",6-10 hours,
06/11/2025 21:11:24,Undergraduate,"Scholarship/Grants, Other (e.g., Freelancing), Part-time Job","More than LKR 75,000",6446,4,Neutral,Unaffordable,Very Unaffordable,Unaffordable,Neutral,"Emergency Funding, Tuition Fees, Accommodation",1-5 hours,I need to work more to cover rent.
23/11/2025 06:41:03,Undergraduate,Student Loans,"LKR 35,001 - 50,000",2408,2,Unaffordable,Unaffordable,Very Unaffordable,Very Affordable,Neutral,"None of the above, Accommodation, Tuition Fees",0 hours,The country sucks
17/11/2025 20:59:59,Undergraduate,Parental/Family Support,"LKR 50,001 - 75,000",5775,4,Unaffordable,Neutral,Affordable,Very Unaffordable,Affordable,"Accommodation, Mental Health Services, Emergency Funding",More than 20 hours,
18/11/2025 05:17:13,Postgraduate,"Parental/Family Support, Savings","Less than LKR 15,000",713,4,Unaffordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,Career Development Workshops,More than 20 hours,
16/11/2025 20:51:18,Undergraduate,"Scholarship/Grants, Parental/Family Support","LKR 15,001 - 25,000",8330,4,Very Affordable,Unaffordable,Very Unaffordable,Very Unaffordable,Very Affordable,Mental Health Services,More than 20 hours,
16/11/2025 23:41:36,Undergraduate,"Parental/Family Support, Savings, Scholarship/Grants",Prefer not to say,9950,4,Unaffordable,Unaffordable,Neutral,Very Unaffordable,Neutral,"None of the above, Tuition Fees",16-20 hours,
21/11/2025 19:19:26,Postgraduate,Parental/Family Support,"LKR 35,001 - 50,000",6955,2,Unaffordable,Neutral,Affordable,Affordable,Very Unaffordable,"Accommodation, Career Development Workshops, Tuition Fees",16-20 hours,
20/11/2025 00:57:23,Undergraduate,"Student Loans, Scholarship/Grants","LKR 15,001 - 25,000",1649,2,Neutral,Affordable,Neutral,Very Unaffordable,Unaffordable,"None of the above, Career Development Workshops",11-15 hours,
31/10/2025 07:55:38,Postgraduate,"Scholarship/Grants, Part-time Job",Prefer not to say,7949,2,Neutral,Unaffordable,Unaffordable,Very Unaffordable,Neutral,"None of the above, Tuition Fees",0 hours,Scholarship funds are delayed.
05/11/2025 15:45:34,Postgraduate,"Scholarship/Grants, Student Loans","LKR 15,001 - 25,000",9452,5,Affordable,Very Unaffordable,Unaffordable,Unaffordable,Neutral,"Career Development Workshops, None of the above, Groceries/Food",6-10 hours,The country sucks
09/11/2025 23:06:59,Postgraduate,"Savings, Other (e.g., Freelancing), Student Loans","LKR 35,001 - 50,000",4495,2,Neutral,Unaffordable,Very Unaffordable,Very Affordable,Neutral,"Tuition Fees, Career Development Workshops",1-5 hours,
12/11/2025 21:11:38,Undergraduate,Parental/Family Support,"LKR 25,001 - 35,000",5386,3,Very Affordable,Very Unaffordable,Unaffordable,Very Affordable,Affordable,Accommodation,1-5 hours,
16/11/2025 14:26:08,Undergraduate,Part-time Job,"LKR 50,001 - 75,000",25580,2,Neutral,Very Unaffordable,Neutral,Very Unaffordable,Very Affordable,"Emergency Funding, Career Development Workshops",1-5 hours,
03/11/2025 23:42:37,Postgraduate,"Student Loans, Other (e.g., Freelancing)","More than LKR 75,000",27431,4,Affordable,Affordable,Very Unaffordable,Very Unaffordable,Very Unaffordable,None of the above,11-15 hours,I need to work more to cover rent.
31/10/2025 00:00:05,Postgraduate,"Other (e.g., Freelancing), Parental/Family Support",Prefer not to say,9454,5,Very Affordable,Unaffordable,Very Unaffordable,Neutral,Neutral,"Mental Health Services, Career Development Workshops",1-5 hours,
16/11/2025 18:34:03,Postgraduate,"Scholarship/Grants, Parental/Family Support","LKR 50,001 - 75,000",20323,3,Affordable,Neutral,Very Unaffordable,Very Unaffordable,Affordable,"Tuition Fees, None of the above",16-20 hours,Financial stress is very high this semester.
30/10/2025 05:12:28,Undergraduate,"Part-time Job, Savings, Student Loans","LKR 25,001 - 35,000",5810,2,Very Unaffordable,Neutral,Affordable,Neutral,Affordable,Career Development Workshops,6-10 hours,
13/11/2025 17:33:49,Undergraduate,"Part-time Job, Parental/Family Support","LKR 35,001 - 50,000",3886,1,Unaffordable,Neutral,Very Affordable,Neutral,Very Affordable,Tuition Fees,1-5 hours,
17/11/2025 08:58:49,Postgraduate,"Student Loans, Scholarship/Grants","More than LKR 75,000",26345,2,Very Affordable,Very Affordable,Very Affordable,Unaffordable,Very Unaffordable,"Tuition Fees, Groceries/Food, Accommodation",0 hours,
15/11/2025 04:32:50,Undergraduate,"Scholarship/Grants, Other (e.g., Freelancing)","More than LKR 75,000",19781,3,Very Unaffordable,Neutral,Very Affordable,Very Affordable,Very Unaffordable,"Accommodation, Career Development Workshops, Tuition Fees",11-15 hours,Scholarship funds are delayed.
23/11/2025 01:17:41,Postgraduate,Savings,"Less than LKR 15,000",177,3,Very Affordable,Affordable,Very Unaffordable,Unaffordable,Affordable,Accommodation,1-5 hours,The country sucks
09/11/2025 20:08:33,Postgraduate,"Savings, Scholarship/Grants",Prefer not to say,3411,3,Affordable,Very Unaffordable,Very Unaffordable,Affordable,Very Unaffordable,"None of the above, Groceries/Food, Career Development Workshops",1-5 hours,Financial stress is very high this semester.
19/11/2025 22:54:27,Postgraduate,"Student Loans, Scholarship/Grants",Prefer not to say,2441,1,Affordable,Neutral,Very Unaffordable,Neutral,Very Affordable,Groceries/Food,0 hours,The country sucks
08/11/2025 22:05:21,Postgraduate,Student Loans,"Less than LKR 15,000",602,4,Neutral,Unaffordable,Affordable,Unaffordable,Very Unaffordable,Accommodation,16-20 hours,
06/11/2025 09:31:17,Undergraduate,"Scholarship/Grants, Part-time Job","LKR 35,001 - 50,000",9405,2,Neutral,Neutral,Unaffordable,Neutral,Very Unaffordable,"Mental Health Services, None of the above, Emergency Funding",More than 20 hours,Scholarship funds are delayed.
23/11/2025 09:35:12,Postgraduate,"Savings, Other (e.g., Freelancing), Student Loans","Less than LKR 15,000",447,5,Unaffordable,Very Affordable,Affordable,Very Affordable,Unaffordable,"None of the above, Groceries/Food, Emergency Funding",More than 20 hours,
30/10/2025 14:00:23,Postgraduate,"Parental/Family Support, Other (e.g., Freelancing), Student Loans","LKR 25,001 - 35,000",4942,3,Very Affordable,Affordable,Neutral,Unaffordable,Very Affordable,"Tuition Fees, Groceries/Food, Emergency Funding",16-20 hours,
15/11/2025 13:10:59,Postgraduate,"Other (e.g., Freelancing), Parental/Family Support, Scholarship/Grants","LKR 35,001 - 50,000",8331,3,Very Affordable,Neutral,Affordable,Unaffordable,Very Affordable,"Mental Health Services, Tuition Fees",11-15 hours,
